ZipCode,Area
4435,99939276
4438,67097293
4441,1571912850
4442,201737267
4443,378287356
4444,181220153
4448,296180465
4449,102325566
4450,43582796
4451,197112278
4453,175857035
4454,137533550
4455,223974018
4456,77879181
4457,444628695
4459,215947247
4460,289088976
4461,114707955
4462,3298386447
4463,408925354
4464,540086778
4468,316778601
4469,625565
4471,254229264
4472,135097712
4473,50125358
4474,70794269
4475,63159210
4476,121204769
4478,1101155272
4479,103081744
4481,82644871
4485,116921073
4487,607927963
4488,94913388
4489,519680
4490,721869710
4491,39377707
4492,120895535
4493,192674524
4495,113529096
4496,95977676
4497,631374599
4530,101084494
4535,55232229
4537,71243204
4538,17752122
4539,44307227
4541,5717798
4543,38104324
4544,11978204
4547,60012234
4548,74033746
4551,72130463
4553,84353147
4554,15214450
4555,59878772
4556,53823228
4558,13982857
4562,116224904
4563,66015522
4564,30560943
4568,29205885
4570,706084
4571,9571141
4572,204253245
4573,25108428
4574,101157265
4575,5692407
4576,22391241
4578,108514734
4579,107680893
4605,861116553
4606,207123978
4607,187570875
4609,159884860
4611,71281267
4612,40901582
4613,11267832
4614,218306676
4616,106661969
4617,117150817
4619,103872618
4622,685365185
4623,356507205
4624,32908712
4625,17114494
4626,189407214
4627,117296167
4628,238140094
4629,5891358
4630,266460683
4631,32275563
4634,304429032
4635,56487438
4637,317236790
4640,94611053
4642,15191464
4643,112284510
4644,12857
4645,105646404
4646,31155671
4648,93548146
4649,192712327
4650,15918926
4652,245871893
4653,21017836
4654,294087179
4655,131926215
4657,284993912
4658,111026733
4660,116084006
4662,9248902
4664,110280812
4666,190776283
4667,111442576
4668,294776152
4669,11698135
4671,87367583
4673,8474733
4674,70490550
4675,16069032
4676,72087412
4677,36548447
4679,50561253
4680,150875261
4681,97995337
4683,187098994
4684,132424894
4685,176854147
4686,309019040
4691,135251682
4693,86869739
4694,383245903
4730,612375755
4732,1162309620
4733,139166724
4734,117081694
4735,126040828
4736,434445662
4739,602570548
4740,100836617
4741,8658260
4742,202933858
4743,357973299
4745,63272205
4746,97576037
4747,445545296
4750,204495572
4756,46415439
4757,338364649
4758,91198775
4760,260335305
4761,50643032
4762,103237497
4763,92771210
4764,171942072
4765,1539562073
4766,94898516
4768,558852300
4769,200987133
4772,103642182
4773,102518483
4774,467715594
4776,224096790
4777,234598757
4779,293086451
4780,793902088
4781,129809246
4783,152224499
4785,268687563
4786,184699369
4787,104316350
4841,35204856
4843,61987114
4847,61845497
4848,178398738
4849,203656352
4851,25814755
4852,3187502
4853,61287699
4854,32193823
4855,13911250
4856,62019596
4858,37860279
4859,40103014
4860,93082644
4861,29718519
4862,176260162
4863,135458172
4864,126261008
4901,211838640
4910,102198367
4911,166714119
4912,155400366
4915,205367738
4917,139960033
4918,10210637
4920,686783328
4921,124986354
4922,106770943
4923,55501827
4924,109104159
4925,155396569
4926,280174
4927,116009532
4928,102183043
4929,51928643
4930,145995357
4932,94363009
4933,240546
4936,1161717933
4937,136973229
4938,325012457
4939,98261741
4940,1297227
4941,169279110
4942,382415000
4943,111321332
4944,4254627
4945,2472435996
4947,327698079
4949,73554637
4950,141991821
4951,104640785
4952,81030028
4953,95577597
4955,117009991
4956,99700400
4957,215896408
4958,154203506
4961,841763305
4962,213898
4963,154906583
4964,326237424
4965,107255107
4966,518426197
4967,127110492
4969,80346910
4970,639970310
4971,121987068
4973,101291817
4974,109993671
4975,142318
4976,262630313
4978,51707151
4979,116387661
4981,129772620
4982,139349069
4983,390851200
4984,61687010
4985,534091132
4986,143879454
4987,93050077
4988,134056071
4989,123606524
4992,154631
5001,113760650
5031,26250861
5032,182144149
5033,75541604
5034,14807328
5035,82929619
5036,87172495
5037,27079469
5038,102786624
5039,114363331
5040,27726517
5041,15241344
5042,61955293
5043,22045975
5045,138611901
5046,157971726
5048,71590451
5050,1118799
5051,126248023
5052,7144784
5053,22666117
5055,106872781
5056,112342870
5058,10627664
5059,14104237
5060,180714985
5061,67130867
5062,110961529
5065,84396391
5067,42622394
5068,134855476
5069,31549867
5070,35486385
5071,50034798
5072,68268663
5075,67043265
5076,74823695
5077,109811379
5079,94633831
5081,24271777
5083,1865523
5084,6212532
5086,63477751
5089,107172791
5091,174718188
5101,90874503
5141,2621287
5142,70190247
5143,246734107
5146,114890950
5148,70938500
5149,115461744
5150,6398790
5151,73281614
5152,105794777
5153,32651532
5154,7011508
5155,108184281
5156,157398427
5158,29716827
5161,89956641
5201,242010890
5250,237988995
5251,90538334
5252,101517118
5253,34207327
5254,5252320
5255,102372984
5257,33137894
5260,25172197
5261,83559973
5262,197442662
5301,391731689
5340,113976152
5341,34078383
5342,39743427
5343,118169746
5345,130681317
5346,178653256
5350,94474965
5352,102612394
5353,96328405
5354,51971361
5355,71062588
5356,57434485
5358,32459107
5359,76815421
5360,133406240
5361,84438649
5362,7051455
5363,171834082
5401,15682536
5403,42974450
5404,3903706
5405,602184
5408,11644935
5439,487838
5440,76962439
5441,82639493
5442,82926767
5443,296522348
5444,53093060
5445,107252468
5446,97120456
5447,802635
5448,105495298
5450,310715643
5452,108795617
5454,126085793
5455,86937483
5456,64558309
5457,105629565
5458,42456903
5459,67690185
5461,107636558
5462,98524648
5463,20451899
5464,168907363
5465,113258216
5468,169354307
5471,133944703
5472,102759539
5473,49891091
5474,34892288
5476,166397161
5477,121559945
5478,158142388
