City,Neighborhood,park.num,heal.num,lib.num,rest.num,pop,area,rent0,rent1,rent2,rent3,rent4,density
ny,Kingsbridge and Riverdale,30,1,4,2801,90892,10807214,1680,1755,2085,2715,3195,84.10308
ny,Jamaica,37,4,8,8251,289130,32028065,1701.428571,1778.571429,2104.285714,2736.428571,3225,90.27395
ny,Southwest Queens,36,0,6,10003,266265,28146670,1841.25,1923.75,2280,2966.25,3493.125,94.59911
ny,Northeast Bronx,14,1,5,4541,190668,20054970,1518.75,1582.5,1878.75,2445,2880,95.07269
ny,Northwest Queens,46,0,8,16729,201192,18509040,1820,1902.5,2255,2932.5,3457.5,108.69932
ny,West Central Queens,33,1,6,10101,245746,22362041,1852.5,1931.25,2295,2985,3517.5,109.89426
ny,East New York and New Lots,36,3,4,4312,187855,15868976,1605,1680,1995,2587.5,3060,118.37878
ny,Greenpoint,49,3,3,10151,127051,10303626,1860,1942.5,2302.5,3000,3532.5,123.30708
ny,Northwest Brooklyn,88,4,6,20364,224199,17568550,2298,2400,2847,3702,4362,127.61383
ny,Hunts Point and Mott Haven,48,2,2,4696,136591,10631046,1380,1443.75,1710,2223.75,2621.25,128.48312
ny,Southwest Brooklyn,24,0,5,8581,199271,15073228,1670,1740,2065,2690,3165,132.20194
ny,Southern Brooklyn,46,4,9,9458,285502,21519951,1473.75,1533.75,1822.5,2366.25,2793.75,132.66852
ny,Lower Manhattan,21,1,1,9060,48376,3430709,2197.5,2305,2727.5,3552.5,4177.5,141.00875
ny,West Queens,84,4,8,22957,480501,32582602,1842.857143,1926.428571,2282.142857,2965.714286,3497.142857,147.47165
ny,Sunset Park,11,0,1,8220,127863,7963900,1687.5,1762.5,2092.5,2722.5,3210,160.55325
ny,East Harlem,33,3,2,4771,109972,5753161,1365,1425,1687.5,2197.5,2587.5,191.15057
ny,Flatbush,23,4,5,9638,296583,15436207,1518.75,1578.75,1875,2437.5,2876.25,192.13464
ny,Borough Park,27,0,7,9204,331983,16418148,1665,1740,2058.75,2677.5,3153.75,202.2049
ny,Chelsea and Clinton,22,1,6,42057,144896,7128963,2100,2195,2602.5,3382.5,3990,203.24976
ny,Central Brooklyn,64,2,11,11147,318898,15586339,1584,1653,1959,2547,3003,204.60096
ny,Bushwick and Williamsburg,33,6,3,7636,210468,9881339,1530,1595,1895,2460,2905,212.99543
ny,Greenwich Village and Soho,33,1,2,23259,83749,3742697,2350,2450,2910,3780,4460,223.76644
ny,High Bridge and Morrisania,57,6,4,5669,207631,7819441,1380,1440,1705,2215,2615,265.53177
ny,Inwood and Washington Heights,34,2,4,9368,248508,8847493,1533,1599,1899,2469,2913,280.87957
ny,Central Harlem,36,8,6,5692,162652,5723388,1356,1416,1680,2184,2577,284.18832
ny,Gramercy Park and Murray Hill,25,2,7,25672,134516,4349496,2497.5,2613.75,3097.5,4027.5,4751.25,309.26802
ny,Lower East Side,43,4,5,25471,198781,5367659,2015,2100,2490,3240,3820,370.3309
