"","population","latitude","longitude"
"1851","30190","42.6278117","-71.3353295"
"1852","33508","42.6318494","-71.2957847"
"1854","27606","42.6494812","-71.3482291"
"1860","6338","42.8386028","-71.011997"
"1862","10227","42.578543","-71.2955915"
"1863","8891","42.6337803","-71.3894701"
"1864","14892","42.5782217","-71.0843981"
"1867","23956","42.5351829","-71.1054234"
"1876","28667","42.6118008","-71.2275708"
"1879","11305","42.6677616","-71.4288204"
"1880","24733","42.5015278","-71.0674996"
"1886","21951","42.5852953","-71.4398262"
"1887","22325","42.5646465","-71.1645158"
"1890","21382","42.4527518","-71.1443188"
"1901","1689","42.4607111","-70.946073"
"1902","45139","42.4710392","-70.9415353"
"1904","18203","42.4924563","-70.9739297"
"1905","25251","42.4659985","-70.9757922"
"1906","26660","42.4684323","-71.0139456"
"1907","14027","42.474287","-70.905908"
"1908","3410","42.4282561","-70.9260406"
"1913","16283","42.8512836","-70.9558366"
"1915","39502","42.5702688","-70.8669962"
"1921","7961","42.6831083","-71.0183302"
"1922","3108","42.7573131","-70.9142408"
"1923","26342","42.5741744","-70.9505165"
"1929","3504","42.634421","-70.7765923"
"1930","28789","42.61991","-70.6818235"
"1937","151","42.5857233","-70.9840508"
"1938","13175","42.6838596","-70.8426636"
"1940","12108","42.5341175","-71.0385743"
"1944","5136","42.5766364","-70.7671544"
"1945","19808","42.5018348","-70.8591263"
"1949","8987","42.6066659","-71.0103158"
"1950","17416","42.8123585","-70.8910952"
"1951","3558","42.7733508","-70.8502113"
"1952","8283","42.8447926","-70.8414757"
"1960","50944","42.5342016","-70.969734"
"1966","6952","42.6407411","-70.6202423"
"1969","5856","42.7208775","-70.8912222"
"1970","41109","42.5244352","-70.8708593"
"1982","7764","42.6262226","-70.8572297"
"1983","6089","42.6413794","-70.9434401"
"1984","4875","42.6005955","-70.8834064"
"1985","4235","42.7995163","-70.964411"
"2019","16332","42.0766822","-71.4744898"
"2021","21561","42.1757371","-71.1253849"
"2025","7542","42.2364229","-70.8144359"
"2026","24711","42.2468719","-71.1794622"
"2030","5589","42.2352395","-71.2880327"
"2032","4226","42.1568817","-71.2161869"
"2035","16865","42.0613376","-71.2458016"
"2038","31635","42.0848585","-71.4105714"
"2043","22157","42.2160985","-70.8812702"
"2045","10293","42.2922529","-70.9239185"
"2047","180","42.1337338","-70.6858599"
"2048","23184","42.0172998","-71.2172998"
"2050","25429","42.1151393","-70.7103308"
"2052","12024","42.1845991","-71.3053065"
"2053","12752","42.1558155","-71.4327808"
"2054","7891","42.1725506","-71.3628109"
"2056","10981","42.1162455","-71.3293599"
"2061","10506","42.1645688","-70.8188439"
"2062","28602","42.1873602","-71.1959555"
"2066","17656","42.2022731","-70.7581843"
"2067","17486","42.1077816","-71.1817715"
