Zip Code,Inspection Date,Score
78753,1/25/2016,81
78759,1/25/2016,96
78741,1/25/2016,93
78703,1/25/2016,97
78702,1/25/2016,96
78703,1/25/2016,94
78702,1/25/2016,94
78750,1/26/2016,98
78757,1/26/2016,95
78726,1/26/2016,87
78653,1/26/2016,93
78704,1/26/2016,85
78702,1/26/2016,95
78748,1/26/2016,91
78749,1/26/2016,97
78753,1/26/2016,97
78660,1/26/2016,95
78757,1/26/2016,100
78741,1/26/2016,89
78744,1/26/2016,86
78705,1/26/2016,79
78745,1/26/2016,100
78748,1/26/2016,92
78704,1/26/2016,95
78758,1/26/2016,100
78705,1/26/2016,88
78749,1/26/2016,100
78702,1/26/2016,84
78727,1/26/2016,86
78736,1/26/2016,97
78751,1/26/2016,93
78728,1/26/2016,91
78704,1/26/2016,98
78728,1/26/2016,83
78723,1/26/2016,87
78745,1/26/2016,73
78660,1/26/2016,93
78702,1/26/2016,93
78726,1/26/2016,88
78745,1/26/2016,98
78703,1/26/2016,100
78751,1/26/2016,100
78726,1/26/2016,95
78728,1/26/2016,65
78751,1/27/2016,89
78756,1/27/2016,97
78745,1/27/2016,99
78654,1/27/2016,94
78705,1/27/2016,95
78759,1/27/2016,85
78704,1/27/2016,88
78759,1/27/2016,87
78704,1/27/2016,100
78702,1/27/2016,100
78703,1/27/2016,89
78704,1/27/2016,100
78705,1/27/2016,94
78759,1/27/2016,93
78758,1/27/2016,93
78702,1/27/2016,93
78757,1/27/2016,96
78705,1/27/2016,92
78703,1/27/2016,96
78757,1/27/2016,100
78744,1/27/2016,88
78747,1/27/2016,94
78753,1/27/2016,83
78745,1/27/2016,92
78741,1/27/2016,86
78726,1/27/2016,94
78703,1/27/2016,85
78703,1/27/2016,96
78726,1/27/2016,97
78750,1/27/2016,82
78705,1/27/2016,100
78702,1/27/2016,100
78745,1/27/2016,89
78753,1/27/2016,95
78704,1/27/2016,100
78702,1/28/2016,100
78701,1/28/2016,72
78701,1/28/2016,92
78756,1/28/2016,77
78704,1/28/2016,83
78741,1/28/2016,86
78705,1/28/2016,90
78748,1/28/2016,95
78753,1/28/2016,82
78724,1/28/2016,92
78701,1/28/2016,90
78750,1/28/2016,99
78757,1/28/2016,100
78704,1/28/2016,95
78751,1/28/2016,100
78613,1/28/2016,97
78703,1/28/2016,86
78704,1/28/2016,89
78729,1/28/2016,100
78701,1/28/2016,95
78703,1/28/2016,92
78702,1/28/2016,92
78660,1/28/2016,98
78753,1/28/2016,83
78704,1/28/2016,78
78704,1/28/2016,100
78703,1/28/2016,92
78753,1/28/2016,72
78752,1/28/2016,95
78751,1/28/2016,97
78704,1/28/2016,87
78702,1/28/2016,76
78703,1/28/2016,82
78727,1/28/2016,96
78749,1/28/2016,100
78705,1/28/2016,93
78724,1/28/2016,100
78724,1/28/2016,100
78660,1/28/2016,97
78758,1/28/2016,87
78702,1/28/2016,92
78701,1/28/2016,100
78705,1/28/2016,100
78723,1/28/2016,83
78745,1/28/2016,94
78753,1/28/2016,93
78757,1/28/2016,100
78744,1/28/2016,92
78704,1/28/2016,77
78750,1/28/2016,71
78752,1/28/2016,100
78753,1/28/2016,97
78702,1/28/2016,96
78753,1/28/2016,97
78702,1/28/2016,90
78745,1/28/2016,86
78758,1/28/2016,88
78705,1/28/2016,100
78754,1/28/2016,85
78745,1/28/2016,99
78752,1/28/2016,94
78753,1/29/2016,93
78653,1/29/2016,94
78751,1/29/2016,89
78748,1/29/2016,94
78660,1/29/2016,100
78758,1/29/2016,92
78702,1/29/2016,96
78703,1/29/2016,75
78724,1/29/2016,93
78705,1/29/2016,84
78746,1/29/2016,100
78746,1/29/2016,92
78758,1/29/2016,89
78758,1/29/2016,96
78744,1/29/2016,83
78754,1/29/2016,92
78758,1/29/2016,87
78758,1/29/2016,94
78704,1/29/2016,97
78660,1/29/2016,98
78705,2/1/2016,100
78746,2/1/2016,97
78704,2/1/2016,90
78745,2/1/2016,96
78753,2/1/2016,97
78728,2/1/2016,88
78726,2/1/2016,100
78756,2/1/2016,100
78704,2/1/2016,91
78660,2/1/2016,98
78751,2/1/2016,96
78724,2/1/2016,100
78758,2/1/2016,100
78757,2/1/2016,88
78758,2/1/2016,100
78704,2/1/2016,90
78750,2/1/2016,94
78744,2/1/2016,100
78749,2/1/2016,89
78705,2/1/2016,87
78750,2/1/2016,91
78727,2/1/2016,94
78727,2/1/2016,100
78701,2/1/2016,83
78751,2/1/2016,100
78757,2/1/2016,93
78703,2/1/2016,91
78753,2/1/2016,97
78702,2/1/2016,100
78703,2/1/2016,92
78727,2/1/2016,80
78726,2/1/2016,94
78723,2/1/2016,97
78701,2/1/2016,99
78759,2/2/2016,100
78653,2/2/2016,83
78705,2/2/2016,85
78726,2/2/2016,85
78704,2/2/2016,92
78723,2/2/2016,89
78728,2/2/2016,88
78660,2/2/2016,93
78724,2/2/2016,97
78749,2/2/2016,100
78744,2/2/2016,100
78701,2/2/2016,92
78753,2/2/2016,97
78717,2/2/2016,96
78724,2/2/2016,82
78704,2/2/2016,96
78728,2/2/2016,89
78748,2/2/2016,98
78701,2/2/2016,77
78753,2/2/2016,94
78701,2/2/2016,56
78702,2/2/2016,96
78741,2/2/2016,98
78701,2/2/2016,72
78728,2/2/2016,77
78753,2/2/2016,75
78757,2/2/2016,93
78757,2/2/2016,84
78704,2/2/2016,95
78746,2/2/2016,98
78757,2/2/2016,94
78702,2/2/2016,93
78728,2/2/2016,87
78751,2/2/2016,96
78756,2/2/2016,91
78741,2/2/2016,82
78748,2/2/2016,100
78741,2/2/2016,84
78759,2/2/2016,96
78751,2/2/2016,97
78749,2/2/2016,100
78753,2/3/2016,91
78723,2/3/2016,94
78758,2/3/2016,100
78753,2/3/2016,91
78758,2/3/2016,92
78701,2/3/2016,100
78745,2/3/2016,76
78756,2/3/2016,85
78660,2/3/2016,100
78744,2/3/2016,96
78748,2/3/2016,90
78701,2/3/2016,85
78753,2/3/2016,77
78723,2/3/2016,85
78756,2/3/2016,97
78749,2/3/2016,97
78754,2/3/2016,88
"6
Austin, TX  78741",2/3/2016,96
78726,2/3/2016,95
78753,2/3/2016,88
78702,2/3/2016,97
78749,2/3/2016,95
78757,2/3/2016,100
78745,2/3/2016,99
78701,2/3/2016,97
78746,2/3/2016,60
78748,2/3/2016,100
78758,2/3/2016,95
78757,2/3/2016,100
78758,2/3/2016,100
78748,2/3/2016,84
78728,2/3/2016,97
78745,2/3/2016,92
78754,2/3/2016,90
78727,2/3/2016,100
78744,2/3/2016,91
78702,2/3/2016,96
78723,2/3/2016,97
78750,2/3/2016,90
78751,2/3/2016,100
78653,2/3/2016,96
78723,2/3/2016,91
78751,2/3/2016,96
78745,2/3/2016,96
78758,2/3/2016,98
78701,2/4/2016,100
78705,2/4/2016,97
78704,2/4/2016,93
78750,2/4/2016,96
78757,2/4/2016,100
78754,2/4/2016,81
78753,2/4/2016,92
78758,2/4/2016,96
78753,2/4/2016,97
78758,2/4/2016,95
78704,2/4/2016,92
78751,2/4/2016,91
78704,2/4/2016,95
78704,2/4/2016,90
78753,2/4/2016,97
78746,2/4/2016,97
78705,2/4/2016,98
78758,2/4/2016,90
78759,2/4/2016,92
78613,2/4/2016,93
78726,2/4/2016,98
78724,2/4/2016,94
78753,2/4/2016,97
78758,2/4/2016,93
78724,2/4/2016,98
78746,2/4/2016,85
78701,2/4/2016,94
78704,2/4/2016,91
78704,2/4/2016,88
78728,2/4/2016,84
78759,2/4/2016,89
78756,2/4/2016,87
78753,2/4/2016,100
78759,2/4/2016,96
78728,2/4/2016,76
78703,2/4/2016,93
78745,2/4/2016,93
78702,2/4/2016,100
78738,2/4/2016,96
78752,2/4/2016,100
78758,2/4/2016,91
78726,2/4/2016,83
78702,2/4/2016,97
78704,2/5/2016,99
78613,2/5/2016,97
78741,2/5/2016,80
78704,2/5/2016,100
78726,2/5/2016,88
78754,2/5/2016,96
78717,2/5/2016,91
78729,2/5/2016,85
78751,2/5/2016,100
78758,2/5/2016,96
78751,2/5/2016,97
78717,2/5/2016,94
78704,2/5/2016,94
78746,2/5/2016,99
78704,2/5/2016,98
78751,2/5/2016,96
78758,2/5/2016,89
78745,2/5/2016,89
78728,2/5/2016,92
78705,2/5/2016,83
78748,2/5/2016,91
78745,2/5/2016,97
78717,2/5/2016,96
78759,2/5/2016,96
78729,2/5/2016,100
78705,2/5/2016,91
78703,2/5/2016,89
78746,2/8/2016,98
78741,2/8/2016,95
78729,2/8/2016,100
78758,2/8/2016,92
78702,2/8/2016,94
78745,2/8/2016,90
78703,2/8/2016,70
78704,2/8/2016,87
78758,2/8/2016,94
78702,2/8/2016,100
78753,2/8/2016,74
78702,2/8/2016,96
78704,2/8/2016,91
78745,2/8/2016,98
78705,2/8/2016,100
78748,2/8/2016,96
78751,2/8/2016,92
78705,2/8/2016,92
78758,2/8/2016,96
78660,2/8/2016,96
78705,2/8/2016,97
78759,2/8/2016,98
78751,2/8/2016,89
78701,2/8/2016,82
78728,2/8/2016,74
78749,2/8/2016,100
78745,2/8/2016,88
78702,2/8/2016,71
78759,2/8/2016,87
78749,2/8/2016,94
78753,2/9/2016,86
78701,2/9/2016,92
78702,2/9/2016,88
78757,2/9/2016,97
78717,2/9/2016,93
78653,2/9/2016,90
78701,2/9/2016,89
78758,2/9/2016,95
78753,2/9/2016,91
78753,2/9/2016,100
78746,2/9/2016,97
78701,2/9/2016,81
78701,2/9/2016,95
78703,2/9/2016,97
78751,2/9/2016,89
78750,2/9/2016,83
78705,2/9/2016,83
78702,2/9/2016,90
78756,2/9/2016,100
78753,2/9/2016,91
78705,2/9/2016,75
78654,2/9/2016,73
78753,2/9/2016,89
78704,2/9/2016,94
78757,2/9/2016,97
78723,2/9/2016,100
78757,2/9/2016,92
78724,2/9/2016,94
78704,2/9/2016,78
78704,2/9/2016,100
78746,2/9/2016,92
78738,2/9/2016,98
78759,2/9/2016,83
78751,2/9/2016,91
78749,2/9/2016,60
78751,2/9/2016,93
78726,2/9/2016,100
78701,2/9/2016,58
78723,2/9/2016,100
78704,2/9/2016,84
78701,2/10/2016,90
78745,2/10/2016,92
78750,2/10/2016,93
78660,2/10/2016,70
78748,2/10/2016,83
78701,2/10/2016,71
78753,2/10/2016,93
78753,2/10/2016,97
78758,2/10/2016,100
78751,2/10/2016,83
78744,2/10/2016,97
78660,2/10/2016,70
78704,2/10/2016,83
78735,2/10/2016,100
78613,2/10/2016,93
78613,2/10/2016,97
78746,2/10/2016,94
78724,2/10/2016,88
78728,2/10/2016,94
78748,2/10/2016,75
78704,2/10/2016,93
78731,2/10/2016,100
78745,2/10/2016,74
78701,2/10/2016,90
78704,2/10/2016,84
78759,2/10/2016,75
78726,2/10/2016,94
78701,2/10/2016,84
78748,2/10/2016,80
78717,2/11/2016,90
78758,2/11/2016,94
78703,2/11/2016,97
78749,2/11/2016,95
78758,2/11/2016,97
78723,2/11/2016,93
78758,2/11/2016,96
78705,2/11/2016,93
78751,2/11/2016,100
78703,2/11/2016,90
78701,2/11/2016,70
78704,2/11/2016,99
78701,2/11/2016,88
78727,2/11/2016,90
78752,2/11/2016,88
78704,2/11/2016,99
78702,2/11/2016,92
78701,2/11/2016,97
78701,2/11/2016,88
78701,2/11/2016,87
78758,2/11/2016,89
78758,2/11/2016,93
78753,2/11/2016,81
78726,2/11/2016,96
78735,2/11/2016,88
78702,2/11/2016,97
78703,2/11/2016,92
78702,2/11/2016,88
78748,2/11/2016,92
78723,2/11/2016,86
78727,2/11/2016,94
78746,2/11/2016,96
78701,2/11/2016,76
78745,2/11/2016,90
78705,2/11/2016,89
78744,2/11/2016,89
78753,2/11/2016,80
78752,2/11/2016,92
78759,2/11/2016,100
78751,2/12/2016,83
78726,2/12/2016,96
78703,2/12/2016,80
78744,2/12/2016,88
78702,2/12/2016,91
78753,2/12/2016,89
78701,2/12/2016,92
78704,2/12/2016,91
78751,2/12/2016,89
78748,2/12/2016,87
78750,2/12/2016,96
78758,2/12/2016,97
78749,2/12/2016,99
78723,2/12/2016,97
78759,2/12/2016,86
78731,2/12/2016,97
78751,2/12/2016,97
78753,2/12/2016,96
78758,2/12/2016,91
78752,2/12/2016,91
78753,2/12/2016,100
78731,2/12/2016,100
78735,2/12/2016,97
78744,2/12/2016,92
78723,2/12/2016,100
78745,2/12/2016,82
78727,2/12/2016,96
78704,2/12/2016,83
78753,2/12/2016,94
78749,2/12/2016,100
78745,2/12/2016,89
78735,2/12/2016,93
78722,2/12/2016,91
78731,2/12/2016,100
78753,2/16/2016,73
78751,2/16/2016,97
78745,2/16/2016,82
78617,2/16/2016,91
78757,2/16/2016,88
78759,2/16/2016,85
78726,2/16/2016,96
78617,2/16/2016,64
78753,2/16/2016,97
78758,2/16/2016,100
78741,2/16/2016,85
78749,2/16/2016,85
78756,2/16/2016,100
78704,2/16/2016,93
78758,2/16/2016,94
78722,2/16/2016,97
78660,2/16/2016,87
78759,2/16/2016,100
78758,2/16/2016,83
78727,2/16/2016,89
78751,2/16/2016,93
78702,2/16/2016,97
78705,2/16/2016,85
78753,2/16/2016,94
78752,2/16/2016,88
78752,2/16/2016,87
78749,2/16/2016,96
78723,2/16/2016,79
78758,2/16/2016,96
78753,2/16/2016,95
78758,2/16/2016,89
78702,2/16/2016,100
78748,2/16/2016,94
78744,2/16/2016,93
78756,2/16/2016,100
78701,2/16/2016,97
78702,2/16/2016,75
78723,2/17/2016,100
78723,2/17/2016,92
78722,2/17/2016,84
78705,2/17/2016,88
78746,2/17/2016,85
78748,2/17/2016,93
78723,2/17/2016,94
78719,2/17/2016,90
78758,2/17/2016,97
78727,2/17/2016,92
78744,2/17/2016,96
78741,2/17/2016,100
78660,2/17/2016,95
78735,2/17/2016,96
78751,2/17/2016,97
