Location Name,ZIP
Knapp Ranch Tennis Courts,91307
Ross Snyder Park,90011
76th Street Pocket Park,90044
Bee Canyon Park,91344
Northridge Recreation Center,91324
Bandini Canyon Park,90731
Saint Andrews Recreation Center - Public Computer Center,90047
Algin Sutton Pool,90044
Palisades Park (Porter Ranch),91326
Lexington Avenue Pocket Park,90038
Ramona Gardens Park,90033
Saint James Park,90007
Zelzah Park,91344
Point Fermin Park,90731
Benny H. Potter West Adams Avenues Memorial Park,90018
John Quimby Park Tennis Courts,91306
Jackie Tatum / Harvard Recreation Center,90047
Elysian Park,90012
Lafayette Skate Park,90057
Penmar Recreation Center,90291
Washington Irving Pocket Park,90018
Sepulveda Park,91405
Griffith Park - Hollywoodland Girls Camp,90068
Lincoln Park Tennis Courts,90031
Rosecrans Park,90247
Westminster Senior Citizen Center,90291
James Slauson Recreation Center,90011
Toberman Park,90015
MacArthur Park,90057
Cabrillo Beach,90731
Angeles Mesa Park,90043
Sunland Senior Citizen Center,91040
Downey Youth Center - Public Computer Center,90031
Wall Street Community Park,90003
Rustic Canyon Tennis Courts,90402
Mount Carmel Senior Citizen Center,90003
Woodbridge Park,91602
Rancho Cienega - Arthur Ashe Tennis Courts,90016
Norman O. Houston Park,90008
Delano Recreation Center,91411
Granada Hills Tennis Courts,91344
Sepulveda Basin Dog Park,91406
South Park Recreation Center,90011
Chatsworth Park North,91311
Rancho Cienega - Ira C. Massey Youth Center,90016
Ramon D. Garcia Msgr. Recreation Center,90023
Ramona Hall Community Center,90065
Elysian Valley Recreation Center,90039
Rolland Curtis Park,90037
Moon Canyon Park,90065
4916 S. McKinley Avenue Pocket Park,90011
Rustic Canyon Recreation Center,90402
Garvanza Park,90042
Andres and Maria Cardenas Skate Park,91402
Leslie N. Shaw Park,90018
Alpine Recreation Center,90012
Juntos Park,90064
61st Street Pocket Park,90003
Garvanza Park,90042
Jaime Beth Slavin Park,91605
Van Nuys Recreation Center,91405
Westchester Park,90045
Ritchie Valens Park,91331
Glassell Park Recreation Center,90065
Algin Sutton Recreation Center,90044
EXPO Center / Ahmanson Senior Citizen Center,90037
Lou Costello (Hostetter) Senior Citizen Center,90023
4600 Orchard Ave Pocket Park,90037
Ernest E. Debs Lake,90032
Budd Weiner Park,90032
Denker and Torrance Pocket Park,90501
Chatsworth Park South,91311
Ritchie Valens Tennis Courts,91331
105th Street Pocket Park,90044
Cypress Recreation Center - Public Computer Center,90065
Rancho Cienega - Celes King III Pool,90016
San Vicente Mountain Park,90272
Averill Park,90732
La Tuna Canyon Park,91352
City Hall Park,90012
Hazard Tennis Courts,90033
South Park,90011
Jordan Downs Recreation Center - Public Computer Center,90002
Studio City Recreation Center (Beeman Park),91604
Sun Valley Park,91352
Louise Park,91406
Hansen Dam Park,91342
Panorama City Park,91402
Griffith Park - Park Center,90027
Palms Recreation Center,90064
North Hollywood Tennis Courts,91601
Jackie Tatum / Harvard Tennis Courts,90047
North Hollywood Recreation Center,91601
Rancho Cienega Sports Center - Public Computer Center,90016
Norman O. Houston Park,90008
Pan Pacific Park,90036
Branford Park,91331
Madison West Park,90004
Dearborn Park,91330
Ramona Hall Park,90065
Glassell Park Youth Center -  Public Computer Center,90065
John Quimby Park,91303
Reseda Park Lake,91335
Wall Street Community Park,90003
Highland Park Recreation Center,90042
Wilmington Park,90744
Fremont High School Indoor Pool,90003
O'Melveny Park,91344
EXPO Center / Ralph M. Parsons Preschool,90037
Pershing Square,90012
North Hollywood Park,91601
Friendship Auditorium,90027
Van Nuys Recreation Center - Public Computer Center,91405
Potrero Canyon Park,90272
Normandie Park,90006
Rinaldi Park,91326
Hoover-Gage Mini Park,90044
EXPO Center / LA 84 / John C. Argue Swim Stadium,90037
Orcutt Ranch Horticultural Center & Community Garden,91304
Lake Balboa,91316
Valley Glen Community Park,91436
Hazard Recreation Center,90033
Hollywood Recreation Center,90038
Lacy Street Neighborhood Park,90031
Hollenbeck Park,90033
Ken Malloy Harbor Regional Lake,90710
Rustic Canyon Pool,90402
Dorothy J. and Benjamin B. Smith Park,90028
Bradley-Milken Youth And Family Center,90002
Sepulveda Recreation Center - Public Computer Center,91405
Balboa Tennis Courts,91316
Armand Hammer / Holmby Pitch and Putt Golf Course,90024
Culver Slauson Recreation Center,90230
Sepulveda Basin / Hjelte Sports Center,91436
Silver Lake Dog Park,90026
Rose Hill Park Community Garden,90032
Woodland Hills Tennis Courts,91367
Van Ness Recreation Center - Public Computer Center,90043
Little Landers Park,91042
Strathern Park West,91605
49th Street Pocket Park,90011
Miguel Contreras Learning Center Pool,90017
Evergreen Youth Center,90033
Woodland Hills Pool,91367
Venice Recreation Center,90291
Lincoln Heights Park,90031
Cheviot Hills Tennis Courts,90064
Mount Carmel Recreation Center,90044
Rockwood Community Park,90026
Wilshire Crest Elementary School Universal Access Playground,90036
Toberman Recreation Center,90015
Shadow Ranch Park,91307
Saint Andrews Recreation Center,90047
El Sereno Arroyo Playground,90032
William Nickerson Gardens Skate Park,90059
Jordan Downs Park,90002
Elysian Park - Chavez Ravine Arboretum,90012
San Pedro Plaza Park,90731
Runyon Canyon Park,90046
97th Street Pocket Park,90010
Harbor City Park,90710
South Park Pool,90011
Mar Vista Park,90066
Bellevue Recreation Center,90026
Lincoln Heights Recreation Center,90031
Gladys Jean Wesson Park,90016
Westchester Recreation Center,90045
El Dorado Avenue Park,91340
Fred Roberts Recreation Center,90011
Glen Alla Park,90292
Peck Park,90732
Boyle Heights Sports Center Park,90023
Rio De Los Angeles State Park,90065
Sylmar Park Recreation Center,91342
Eagle Rock Tennis Courts,90041
Griffith Park - Shane's Inspiration Park,90027
Sun Valley Tennis Courts,91352
Griffith Park - Ferndell Nature Museum / Gardens,90027
Lincoln Park Senior Citizen Center,90031
Granada Hills Recreation Center,91344
State Street Recreation Center,90033
Van Nuys  Sherman Oaks Recreation Center,91423
Barnsdall Park,90027
Westside Neighborhood Park,90016
Victory - Vineland Tennis Courts,91606
El Sereno Tennis Courts,90032
EXPO Center / Ahmanson Senior Citizen Center - Public Computer Center,90037
Oakwood Park,90291
Bell Canyon Park,91307
Harbor City Recreation Center,90710
Camp Seely,92325
Griffith Park Bond Area,90027
O'Melveny Park,91344
El Sereno North Park,90032
Echo Park Youth Center,90026
Glassell Park Youth Center,90065
Valley Plaza Tennis Courts,91606
Fort MacArthur Museum,90731
Hubert H. Humphrey Pool,91331
Jim Gilliam Child Care Center,90008
West Adams Heights Park,90007
Shadow Ranch Recreation Center,91307
Oro Vista Park,91040
Sylmar Park Recreation Center - Public Computer Center,91342
Griffith Park - Ferraro Fields,90027
Watts Senior Citizen Center,90002
Mascot Park,90019
Wilbur-Tampa Park,91326
