"","NAICS","ZIP"
"613",722110,91403
"614",722110,91303
"615",722110,90036
"616",722110,90012
"617",722110,90048
"618",722110,90045
"619",722110,90047
"620",722110,91356
"621",722110,91402
"622",722110,90020
"623",722110,90035
"624",722110,90011
"625",722110,90010
"626",722110,90007
"627",722110,91406
"628",722110,90006
"629",722110,91356
"630",722110,90064
"631",722110,90025
"632",722110,90015
"633",722110,91345
"634",722110,91605
"635",722110,91331
"636",722110,90012
"637",722110,90061
"638",722110,90039
"639",722110,90041
"640",722110,90036
"641",722110,90012
"642",722110,91040
"643",722110,90025
"644",722110,90604
"645",722110,91042
"646",722110,90402
"647",722110,91405
"648",722110,90025
"649",722110,90292
"650",722110,90014
"651",722110,91325
"652",722110,91316
"653",722110,90036
"654",722110,91405
"655",722110,90003
"656",722110,91436
"657",722110,90731
"658",722110,91335
"659",722110,90035
"660",722110,90036
"661",722110,91605
"662",722110,90033
"663",722110,90013
"664",722110,91436
"665",722110,90292
"666",722110,91042
"667",722110,90019
"668",722110,90045
"669",722110,90041
"670",722110,90744
"671",722110,90042
"672",722110,90014
"673",722110,90027
"674",722110,90045
"675",722110,90032
"676",722110,90004
"677",722110,91303
"678",722110,90046
"679",722110,91402
"680",722110,90064
"681",722110,91316
"682",722110,90004
"683",722110,93003
"684",722110,90731
"685",722110,91605
"686",722110,90731
"687",722110,90028
"688",722110,90006
"689",722110,90042
"690",722110,90025
"691",722110,91335
"692",722110,91607
"693",722110,90039
"694",722110,90029
"695",722110,90071
"696",722110,90024
"697",722110,91605
"698",722110,90032
"699",722110,90038
"700",722110,91605
"701",722110,90027
"702",722110,91335
"703",722110,90032
"704",722110,91356
"705",722110,91364
"706",722110,90006
"707",722110,91335
"708",722110,91602
"709",722110,90005
"710",722110,90029
"711",722110,90019
"712",722110,91352
"713",722110,91344
"714",722110,90023
"715",722110,90038
"716",722110,90012
"717",722110,91342
"718",722110,90012
"719",722110,90027
"720",722110,90034
"721",722110,90291
"722",722110,90067
"723",722110,90012
"724",722110,90013
"725",722110,90032
"726",722110,90025
"727",722110,90019
"728",722110,90710
"729",722110,91303
"730",722110,91356
"731",722110,91335
"732",722110,90016
"733",722110,91342
"734",722110,90024
"735",722110,90026
"736",722110,91364
"737",722110,91331
"738",722110,90043
"739",722110,90029
"740",722110,90292
"741",722110,91406
"742",722110,90043
"743",722110,91311
"744",722110,91423
"745",722110,91324
"746",722110,91604
"747",722110,91316
"748",722110,91405
"749",722110,91352
"750",722110,91324
"751",722110,90025
"752",722110,90019
"753",722110,90039
"754",722110,90015
"755",722110,90001
"756",722110,91324
"757",722110,91606
"758",722110,90048
"759",722110,91401
"760",722110,90014
"761",722110,91605
"762",722110,90064
"763",722110,91601
"764",722110,90291
"765",722110,90027
"766",722110,90020
"767",722110,90291
"768",722110,90065
"769",722110,90006
"770",722110,90017
"771",722110,91316
"772",722110,90071
"773",722110,90017
"774",722110,90006
"775",722110,90019
