Zip Code,Inspection Date,Score
78759,6/2/2016,93
78705,12/9/2015,90
78702,1/4/2017,97
78723,12/4/2014,92
78753,9/17/2014,95
78705,6/3/2015,100
78745,9/29/2015,100
78728,3/6/2014,97
78704,9/22/2014,90
78725,3/31/2014,79
78736,11/19/2014,96
78705,1/25/2016,96
78756,10/29/2015,80
78705,4/22/2014,77
78759,8/7/2014,100
78702,12/6/2016,96
78744,10/18/2016,94
78757,10/29/2014,100
78721,4/29/2014,100
78723,4/8/2015,84
78741,12/14/2016,87
78702,1/23/2015,93
78705,2/4/2015,90
78759,8/27/2014,97
78704,2/11/2016,93
78757,12/22/2014,100
78759,2/27/2014,96
78757,4/20/2015,93
78757,5/6/2015,97
78702,8/20/2014,85
78745,7/20/2016,92
78705,9/19/2016,92
78752,10/1/2014,84
"6
Austin, TX  78741",3/28/2016,83
78744,10/19/2015,97
78748,8/4/2015,91
78759,12/22/2016,94
78750,1/6/2016,97
78750,7/8/2016,86
78705,12/28/2016,96
78701,5/18/2016,95
78749,8/25/2015,100
78757,12/1/2015,90
78745,1/8/2015,97
78704,1/12/2015,94
78723,11/21/2016,79
78701,2/5/2015,84
78745,12/3/2014,72
78728,7/6/2016,100
78726,3/22/2016,96
78701,1/7/2016,92
78745,2/3/2014,82
78702,6/28/2016,90
78721,4/23/2015,93
78748,3/18/2016,100
78753,1/13/2015,97
78748,12/18/2015,93
78731,5/2/2014,89
78735,11/18/2015,100
78749,3/16/2015,96
78746,11/17/2016,86
78705,3/26/2015,91
78741,1/15/2016,98
78759,2/19/2014,92
78702,6/24/2014,80
78757,12/4/2014,94
78721,3/24/2016,82
78721,6/30/2016,92
78613,6/21/2016,83
78745,7/7/2016,98
78758,5/20/2016,91
78741,7/31/2014,82
78728,2/1/2016,87
78705,10/24/2014,82
78702,6/17/2016,97
78759,2/13/2015,91
78721,11/21/2014,97
78717,9/26/2016,95
78722,1/19/2016,89
78701,2/20/2014,90
78701,7/14/2015,100
78701,6/23/2016,84
78704,6/27/2014,92
78741,9/13/2016,85
78702,6/12/2015,80
78759,7/6/2015,100
78735,12/15/2014,88
78745,2/4/2016,99
78704,12/20/2016,90
78660,3/23/2016,90
78704,1/22/2016,98
78746,7/17/2014,92
78704,3/10/2014,94
78705,9/3/2015,97
78757,6/22/2016,87
78741,12/17/2015,83
78730,11/18/2015,96
78705,7/22/2015,84
78726,9/11/2014,94
78752,4/28/2015,90
78744,5/16/2014,93
78704,5/11/2015,88
78704,2/2/2015,100
78660,8/16/2016,82
78753,1/27/2016,93
78748,3/29/2016,100
78729,12/7/2015,86
78705,5/12/2015,100
78757,5/6/2016,80
78721,9/30/2014,80
78704,9/29/2014,100
78722,3/3/2014,92
78745,9/16/2014,86
78701,9/3/2014,100
78704,1/20/2016,72
78741,7/23/2014,90
78749,8/19/2016,98
78759,12/15/2015,93
78750,9/13/2016,98
78727,8/11/2014,100
78613,8/4/2016,92
78701,8/10/2016,93
78748,6/30/2014,90
78757,7/9/2014,94
78757,3/9/2016,87
78701,3/29/2016,98
78704,12/15/2015,86
78701,11/26/2014,92
78741,7/29/2014,93
78705,12/16/2016,99
78721,7/1/2016,86
78704,8/12/2015,97
78702,2/17/2016,90
78703,5/14/2015,96
78744,11/19/2015,100
78702,4/9/2015,94
78705,6/9/2016,100
78753,12/16/2015,96
78701,10/2/2015,97
78727,6/19/2015,100
78705,11/4/2014,100
78751,4/29/2014,97
78757,1/23/2015,83
78729,7/17/2015,80
78717,7/10/2015,89
78759,4/13/2015,100
78745,2/20/2014,87
78717,1/29/2015,90
78705,3/27/2015,93
78748,5/5/2014,87
78705,11/25/2014,93
78750,5/6/2015,84
78756,12/13/2016,98
78705,12/15/2016,96
78752,4/11/2016,84
78704,8/2/2016,85
78729,1/6/2015,89
78729,5/2/2016,95
78729,6/8/2015,84
78729,7/2/2014,97
78729,9/26/2016,97
78729,11/12/2015,93
78717,5/19/2016,96
78748,2/20/2014,97
78745,11/8/2016,88
78759,12/5/2016,92
78723,8/21/2015,97
78759,12/26/2014,100
78729,5/13/2014,96
78705,6/3/2015,100
78736,4/25/2016,96
78704,2/28/2014,100
78748,8/30/2016,100
78757,8/24/2016,99
78705,6/27/2016,94
78757,12/29/2016,85
78758,10/7/2014,100
78752,3/31/2015,80
78756,9/9/2015,100
78745,8/21/2015,90
78757,12/11/2015,92
78749,1/6/2017,95
78758,7/21/2016,97
78748,8/19/2014,100
78723,4/11/2016,98
78741,7/27/2016,85
78705,2/25/2014,100
78717,10/24/2016,84
78750,10/30/2015,99
78745,3/3/2015,93
78705,4/3/2015,97
78731,9/13/2016,91
78704,10/7/2015,93
78758,7/22/2014,100
78704,1/26/2016,99
78745,7/24/2014,96
78759,7/12/2016,99
78704,5/28/2015,76
78741,6/12/2015,79
78745,4/29/2016,88
78759,9/1/2015,95
78705,6/26/2015,100
78704,1/5/2017,91
78723,3/7/2016,95
78732,10/2/2014,100
78613,3/9/2015,96
78701,10/22/2014,97
78741,8/15/2014,80
78747,10/16/2015,63
78701,2/3/2015,87
78759,3/21/2016,100
78723,8/5/2015,94
78759,3/20/2015,89
78748,12/11/2014,81
78726,1/27/2015,96
78726,3/26/2014,96
78726,5/19/2016,91
78726,6/2/2015,90
78726,7/31/2014,97
78726,10/31/2016,89
78726,11/20/2015,92
78701,11/4/2014,100
78669,1/21/2015,90
78669,2/16/2016,96
78669,2/19/2014,96
78669,8/1/2016,96
78669,8/10/2015,77
78669,8/15/2014,91
78741,12/28/2016,93
78745,8/14/2015,93
78745,8/31/2016,91
78731,2/20/2015,96
78757,3/6/2015,96
78703,3/30/2015,97
78721,7/20/2015,90
78731,3/31/2016,100
78726,3/16/2015,97
78744,1/16/2015,89
78757,6/23/2015,92
78751,2/19/2016,99
78727,2/23/2016,96
78757,6/23/2014,88
78758,12/21/2015,96
78717,9/19/2014,94
78750,3/23/2016,95
78722,8/10/2016,85
78759,2/9/2015,84
78757,9/9/2016,87
78723,7/14/2015,97
78702,10/21/2014,76
78705,11/29/2016,96
78757,1/26/2016,83
78757,12/23/2014,96
78704,6/10/2014,89
78756,11/4/2014,97
78753,7/18/2016,84
78753,12/29/2016,89
78759,3/28/2014,93
78745,6/23/2015,82
78748,9/16/2016,98
78701,6/27/2016,99
78701,12/8/2016,92
78745,2/10/2015,82
78749,1/8/2015,94
78726,1/6/2017,91
78748,8/10/2015,95
78723,2/24/2014,84
78704,10/28/2016,100
78701,11/16/2016,86
78701,2/26/2014,93
78727,12/21/2016,92
78731,5/29/2014,100
78723,12/22/2015,91
78757,5/16/2014,93
78757,11/13/2014,100
78758,12/22/2016,95
78727,3/3/2015,100
78727,3/24/2016,91
78701,7/2/2015,93
78669,3/31/2016,98
78669,8/20/2015,80
78669,9/20/2016,100
78744,6/17/2015,96
78757,7/12/2016,97
78758,6/23/2016,95
78701,7/7/2016,98
78660,12/2/2016,100
78756,5/22/2014,97
78748,3/17/2016,99
78747,10/15/2014,96
78669,10/28/2016,100
78705,7/14/2014,94
78727,6/22/2016,93
78753,9/21/2016,94
78758,11/7/2014,95
78757,2/3/2016,85
78732,4/15/2014,93
78741,7/5/2016,88
78704,12/23/2015,96
78759,5/17/2016,95
78617,8/25/2016,89
78704,5/26/2015,75
78745,1/14/2015,90
78753,2/6/2015,94
78729,8/27/2014,97
78735,6/1/2015,94
78735,6/2/2016,94
78727,3/4/2015,93
78735,6/20/2014,81
78745,6/29/2016,92
78705,3/27/2015,94
78745,6/25/2015,93
78757,3/27/2015,94
78702,10/4/2016,91
78748,2/18/2015,88
78731,5/16/2014,93
78735,11/24/2015,94
78736,10/24/2016,91
78726,5/6/2014,100
78735,12/22/2014,85
78735,12/28/2016,83
78701,8/29/2014,97
78753,3/22/2016,97
78723,7/13/2015,97
78748,4/29/2015,83
78701,12/2/2014,75
78754,2/11/2016,92
78754,5/13/2014,100
78754,6/10/2015,87
78754,11/10/2014,94
78754,11/16/2016,84
78741,12/29/2015,90
78751,12/13/2016,94
78731,6/26/2015,100
78758,6/16/2016,87
78726,1/14/2016,98
78703,1/11/2016,98
78748,2/19/2014,97
78701,1/22/2016,94
78704,12/16/2014,83
78748,11/7/2016,78
78732,4/16/2014,93
78729,11/6/2014,97
78731,10/16/2014,82
78704,11/24/2014,90
78701,12/17/2015,93
78731,11/13/2014,94
78660,5/2/2016,97
78701,3/15/2016,95
78701,1/5/2016,82
78727,9/4/2015,95
78741,1/12/2016,85
78704,1/22/2015,92
78732,9/16/2015,90
78757,2/22/2016,84
78757,7/20/2015,89
78749,12/14/2015,90
78704,6/23/2016,86
78759,9/23/2015,100
78705,8/28/2015,97
78704,11/19/2014,87
78749,1/2/2015,88
78704,9/9/2015,89
78701,7/7/2015,94
78745,8/12/2016,89
78701,12/17/2015,98
78744,4/22/2015,95
78729,12/20/2016,99
78741,1/5/2017,90
78757,11/14/2016,95
78732,2/19/2015,94
78752,1/15/2015,100
78753,12/20/2016,94
78758,11/12/2014,97
78701,8/26/2014,100
78746,9/12/2016,95
78747,3/16/2015,92
78736,5/27/2014,96
78705,6/24/2015,91
78758,11/16/2016,92
78746,11/10/2016,96
78704,2/27/2014,100
78745,8/3/2016,86
78722,7/22/2015,97
78731,4/1/2014,86
78749,7/26/2016,97
78741,3/4/2015,82
78722,11/4/2014,83
78748,10/27/2016,95
78750,10/9/2015,97
78722,4/15/2016,91
78723,10/26/2016,98
78759,7/17/2015,97
78746,7/22/2014,93
78759,12/16/2016,91
78751,8/15/2016,99
78748,3/31/2015,87
78748,8/28/2014,100
78701,9/7/2016,94
78758,4/20/2015,97
78741,1/12/2017,95
78758,8/9/2016,97
78751,1/7/2016,100
78749,7/13/2016,92
78752,12/1/2016,91
78757,6/28/2016,80
78748,9/15/2014,97
78759,9/17/2014,100
78749,5/1/2015,91
78753,6/9/2015,100
78745,2/24/2016,99
78701,5/20/2015,100
